slice,channel,path,length,columns,rows,values,required_values,payload_valid
001,Al,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_alk.dat,1049724,549,478,262431,262424,True
001,Cl,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_clk.dat,1049724,549,478,262431,262424,True
001,Co,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_cok.dat,1049724,549,478,262431,262424,True
001,Cr,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_crk.dat,1049724,549,478,262431,262424,True
001,F,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_fk.dat,1049724,549,478,262431,262424,True
001,Fe,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_fek.dat,1049724,549,478,262431,262424,True
001,Mg,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mgk.dat,1049724,549,478,262431,262424,True
001,Mn,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mnk.dat,1049724,549,478,262431,262424,True
001,Mo,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mom.dat,1049724,549,478,262431,262424,True
001,Na,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_nak.dat,1049724,549,478,262431,262424,True
001,Ni,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_nik.dat,1049724,549,478,262431,262424,True
001,O,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_ok.dat,1049724,549,478,262431,262424,True
001,Si,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_sik.dat,1049724,549,478,262431,262424,True
001,Ti,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_tik.dat,1049724,549,478,262431,262424,True
001,W,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_wl.dat,1049724,549,478,262431,262424,True
002,Al,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_alk.dat,1049724,549,478,262431,262424,True
002,Cl,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_clk.dat,1049724,549,478,262431,262424,True
002,Co,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_cok.dat,1049724,549,478,262431,262424,True
002,Cr,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_crk.dat,1049724,549,478,262431,262424,True
002,F,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_fk.dat,1049724,549,478,262431,262424,True
002,Fe,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_fek.dat,1049724,549,478,262431,262424,True
002,Mg,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_mgk.dat,1049724,549,478,262431,262424,True
002,Mn,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_mnk.dat,1049724,549,478,262431,262424,True
002,Mo,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_mom.dat,1049724,549,478,262431,262424,True
002,Na,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_nak.dat,1049724,549,478,262431,262424,True
002,Ni,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_nik.dat,1049724,549,478,262431,262424,True
002,O,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_ok.dat,1049724,549,478,262431,262424,True
002,Si,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_sik.dat,1049724,549,478,262431,262424,True
002,Ti,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_tik.dat,1049724,549,478,262431,262424,True
002,W,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_wl.dat,1049724,549,478,262431,262424,True
003,Al,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_alk.dat,1049724,549,478,262431,262424,True
003,Cl,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_clk.dat,1049724,549,478,262431,262424,True
003,Co,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_cok.dat,1049724,549,478,262431,262424,True
003,Cr,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_crk.dat,1049724,549,478,262431,262424,True
003,F,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_fk.dat,1049724,549,478,262431,262424,True
003,Fe,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_fek.dat,1049724,549,478,262431,262424,True
003,Mg,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_mgk.dat,1049724,549,478,262431,262424,True
003,Mn,data/alloy617_nrds/eds/slice_003/dat/ebsd-sliceimage-003_0_mnk.dat,1049724,549,478,262431,262424,True
