slice,channel,source_page,source_url,local_path,length,sha256
001,Al,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/82683c21-995d-4168-92e8-4cd8807e4481/download/ebsd-sliceimage-001_0_alk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_alk.dat,1049724,6EBF1FC05155941BDDCEC9DA7CB5CB61E1921E958E938A796796605D28F6C617
001,CPS,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_all_elements,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_all-elements/resource/3070286a-fcfa-43c9-b530-551be9d29d2c/download/ebsd-sliceimage-001_0_cps.dat,data/alloy617_nrds/all_elements/slice_001/ebsd-sliceimage-001_0_cps.dat,2099384,E743A40D4B384D194CE29BB85B3CF4C0E665E8415C58147416097D8775CEEF3C
001,Cl,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/637f996a-2b63-4979-bf1b-541d02ee1d9e/download/ebsd-sliceimage-001_0_clk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_clk.dat,1049724,2FBA91B8571341F6D1BD9F9FBEC26FCB8FE4B0C4E74A9470C84C822AF3F43241
001,Co,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/d040904b-40be-4a98-9f8d-4468fdb52dce/download/ebsd-sliceimage-001_0_cok.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_cok.dat,1049724,C2AE0D23A82F09681F8B1092D3F461D293122E0E4D0E5FA1E821D24AED79DA7E
001,Cr,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/f29a905b-9c7f-4734-b7d3-2df309624d5e/download/ebsd-sliceimage-001_0_crk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_crk.dat,1049724,1E0EA66AC0E57A85D52F09789A9DF659430A09203274A708BB4DC5A67715C934
001,F,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/78ea81b6-0886-4978-b3b6-733553a17e01/download/ebsd-sliceimage-001_0_fk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_fk.dat,1049724,1FD40FA981E56799793EDC95455DB030089F8E835CBC163F08198AB57C76A3B4
001,Fe,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/956cf140-a3c1-409e-9707-3191769fbc7d/download/ebsd-sliceimage-001_0_fek.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_fek.dat,1049724,CF3038DAC6BEC47DED18382180F2B83400E266C13BA86716A885AC1D3AB9C11F
001,Mg,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/e57b73ef-b634-4b19-838c-f200520c1322/download/ebsd-sliceimage-001_0_mgk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mgk.dat,1049724,4358647793DA35CCF58C71969694392A61E9ED8AA854FD7DE0591A49EB11CA80
001,Mn,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mn,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mn/resource/b9237837-3a92-4fab-91b2-90c30fbb1351/download/ebsd-sliceimage-001_0_mnk.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mnk.dat,1049724,314DB5E93F32E4ACFE62EA411DD221849097E94831A0AC842FE29DCBB33E3796
001,Mo,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mo,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mo/resource/06bb52e2-6c42-4de1-ba60-37e0cb2b821c/download/ebsd-sliceimage-001_0_mom.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_mom.dat,1049724,E7306402964033FD5C347510DFCFCB036A6D6F538697836983D956001BDE3F92
001,Na,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_na,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_na/resource/4cfc8212-f61f-484b-8032-557089383d6f/download/ebsd-sliceimage-001_0_nak.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_nak.dat,1049724,6338A6E0BB4B5A9259023E5F736DB35F9822CF9A0E98FA75A35F8648191B790F
001,Ni,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ni,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ni/resource/9bc28a71-5d58-4f7b-9b05-979e9640c985/download/ebsd-sliceimage-001_0_nik.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_nik.dat,1049724,EE9826C13EAF95D89904A9162BA6E1B02BA88A6C4C230E407F014B07A83D20ED
001,O,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_o,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_o/resource/6abee7d9-1d4c-4ced-9922-e2d50c435f68/download/ebsd-sliceimage-001_0_ok.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_ok.dat,1049724,786309A45975942996EDC68BEAF10173A30FE1307CD2780E0EBDB5B1634E2953
001,Si,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_si,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_si/resource/c7e57fb8-a147-4859-86a9-3f369fbd5e59/download/ebsd-sliceimage-001_0_sik.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_sik.dat,1049724,B49A0391A590DCA355881CC95A12F6A906BACF83D7A313E6221A30EA4A5F9D82
001,Ti,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_ti,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_ti/resource/9bce6ccb-b06d-48de-8c60-ccd48d9014d3/download/ebsd-sliceimage-001_0_tik.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_tik.dat,1049724,E479533D1540C24DBB0E2F38A83E3F9870D23813A9483E7BB2C199AFC31F855E
001,W,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_w,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_w/resource/2e7ef9ef-b526-4873-bf94-373e10625597/download/ebsd-sliceimage-001_0_wl.dat,data/alloy617_nrds/eds/slice_001/dat/ebsd-sliceimage-001_0_wl.dat,1049724,F6BD8398FF213B1C42CD9D4641891CEC4515DA6D13E041A5C0885A73DD33061E
002,Al,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_al,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_al/resource/6ed70144-8676-431a-aaab-f7c958cdff01/download/ebsd-sliceimage-002_0_alk.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_alk.dat,1049724,C02A583A67540C587E4FA292EDB7C33543A4078695317B734C9840B8CFE1E5B1
002,CPS,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_all_elements,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_all-elements/resource/cc851363-c6a2-4eda-9360-56c69d7d67be/download/ebsd-sliceimage-002_0_cps.dat,data/alloy617_nrds/all_elements/slice_002/ebsd-sliceimage-002_0_cps.dat,2099384,9E562384938566E8495D0952CDAF679220516AC41D42D565AC97419AE35690F6
002,Cl,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cl,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cl/resource/cf4aa3b7-41e9-4012-b0c9-2d26bd17bd07/download/ebsd-sliceimage-002_0_clk.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_clk.dat,1049724,A61B595FB97CE2ACB9EBEA2FD9326E1AC734F8C256FBF958CAA6E86B40CBD2BE
002,Co,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_co,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_co/resource/a9f5cb33-c150-434a-a42d-adf411bb24d7/download/ebsd-sliceimage-002_0_cok.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_cok.dat,1049724,AF1EDE291E39562605C5B5778E0EB349A2C05A68B79D3ACDB5AC88EF87860C9D
002,Cr,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_cr,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_cr/resource/81f69258-a139-45d5-8749-6247a3d0ad4b/download/ebsd-sliceimage-002_0_crk.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_crk.dat,1049724,79C2B987A03E7930DDE3F94ECA0C50BC9EB6B6213A309DFCD0DB81F70576EC3E
002,F,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_f,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_f/resource/73b907f6-1c44-47df-8a95-44c7ee2a193e/download/ebsd-sliceimage-002_0_fk.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_fk.dat,1049724,BAACD9902A4AAA98CB3B03EDB616A6CA470E3E0CCD972EBE7B1F746EE09802EF
002,Fe,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_fe,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_fe/resource/8b6aef86-ca35-4b5f-a0a8-dc247385f795/download/ebsd-sliceimage-002_0_fek.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_fek.dat,1049724,6DCB87FB8B40F02FCE3D665802BDB3B041C05F89DF5301D7495F2DFAE44AC47E
002,Mg,https://nrds.inl.gov/dataset/a617_test6-7_images_ebsd___eds_mg,https://nrds.inl.gov/dataset/a617_test6-7_ebsd-eds_mg/resource/3077866f-8b43-46a2-a1ad-62cff8cf674e/download/ebsd-sliceimage-002_0_mgk.dat,data/alloy617_nrds/eds/slice_002/dat/ebsd-sliceimage-002_0_mgk.dat,1049724,D68A3687D80DD3369D18495A2560A870617D70AB7FDFE013BDEB79FD1F8E72B2
