policy,slices,mean_morphology_composite_error,mean_front_distance_nm,mean_penetration_d95_error_nm,mean_penetration_dmax_error_nm,mean_normalized_reconstruction_rmse,mean_selected_area_fraction,mean_scan_time_s
variogram_eer_4x4_mean_kappa5,10,0.11064280554728292,10058.580049091668,2090.0,2150.0,0.21737514717685263,0.26499378863052636,85.0714
nested_band_veer_4x4_mean_kappa5,10,0.13513828803658692,11739.684026417244,3098.5,2860.0,0.21604150419642193,0.26499378863052636,85.0714
nested_veer_4x4_mean_kappa2,10,0.13516754552689614,12634.896498853199,2206.5,2190.0,0.2212806028440068,0.26499378863052636,85.0714
nested_veer_4x4_mean_kappa5,10,0.14574211072334475,13808.483757423257,2194.0,2180.0,0.22176945368024986,0.26499378863052636,85.0714
nested_veer_4x4_mean_kappa10,10,0.1467291156894892,13916.856902705922,2194.0,2180.0,0.22171200720263012,0.26499378863052636,85.0714
uncertainty_lookahead,10,0.14937466830221774,14212.838579583517,2188.5,2100.0,0.22204419113791413,0.26499378863052636,85.0714
variogram_eer_4x4_mean_kappa2,10,0.15465550308435233,14071.17423866189,2910.0,2730.0,0.22013904401968185,0.26499378863052636,85.0714
nested_band_veer_4x4_mean_kappa2,10,0.15928332750308277,14559.309359838488,2930.0,2730.0,0.2211764353095962,0.26499378863052636,85.0714
variogram_eer_4x4_mean_kappa0,10,0.1631178840593714,15130.343669718985,2780.0,2700.0,0.22052669671684666,0.26499378863052636,85.0714
nested_veer_4x4_mean_kappa0,10,0.1763905473007123,16607.682093618212,2760.0,2640.0,0.2228983381140824,0.26499378863052636,85.0714
